第零層,id,第一層,id,第二層,id,法規名稱,id,英文版,廢止
,,,,組織目,04004001,,,,
,,,,,,中正國防幹部預備學校組織規程,F0000047,,
,,,,,,空軍軍官學校組織規程,F0000050,,
,,,,,,空軍航空技術學院組織規程,F0000053,,
,,,,,,軍事情報學校組織規程,F0000057,,
,,,,,,海軍技術學校組織規程,F0000051,,
,,,,,,海軍軍官學校組織規程,F0000054,,
,,,,,,海軍陸戰隊學校組織規程,F0000052,,
,,,,,,國防大學組織規程,F0000049,,
,,,,,,國防法,F0010030,,
,,,,,,國防部主計局組織法,F0000077,,
,,,,,,國防部主計局處務規程,F0010060,,
,,,,,,國防部各級軍事法院組織準則,F0000079,,
,,,,,,國防部地方軍事法院及其分院辦事細則,F0010062,,
,,,,,,國防部地方軍事法院及其分院檢察署辦事細則,F0010063,,
,,,,,,國防部空軍司令部組織規程,F0000043,,
,,,,,,國防部空軍司令部辦事細則,F0010045,,
,,,,,,國防部政治作戰局組織法,F0000078,,
,,,,,,國防部政治作戰局處務規程,F0010058,,
,,,,,,國防部軍事監獄組織規程,F0000080,,
,,,,,,國防部軍事監獄辦事細則,F0010064,,
,,,,,,國防部軍備局組織法,F0000075,,
,,,,,,國防部軍備局處務規程,F0010059,,
,,,,,,國防部軍醫局組織法,F0000076,,
,,,,,,國防部軍醫局處務規程,F0010061,,
,,,,,,國防部海軍司令部組織規程,F0000042,,
,,,,,,國防部海軍司令部辦事細則,F0010047,,
,,,,,,國防部高等軍事法院及其分院辦事細則,F0010065,,
,,,,,,國防部高等軍事法院及其分院檢察署辦事細則,F0010066,,
,,,,,,國防部參謀本部組織法,F0000074,,
,,,,,,國防部參謀本部處務規程,F0010069,,
,,,,,,國防部組織法,F0000001,,
,,,,,,國防部處務規程,F0010057,,
,,,,,,國防部陸軍司令部組織規程,F0000041,,
,,,,,,國防部陸軍司令部辦事細則,F0010048,,
,,,,,,國防部最高軍事法院辦事細則,F0010067,,
,,,,,,國防部最高軍事法院檢察署辦事細則,F0010068,,
,,,,,,國防醫學院組織規程,F0000072,,
,,,,,,國軍印信規則,F0010001,,
,,,,,,國家中山科學研究院設置條例,F0000083,,
,,,,,,陸軍軍官學校組織規程,F0000070,,
,,,,,,陸軍專科學校組織規程,F0000069,,
,,,,政戰目,04004002,,,,
,,,,,,國軍服務作業單位及國軍英雄館管理辦法,F0010037,,
,,,,,,從事及參與國防安全事務人員安全調查辦法,F0010036,,
,,,,人事目,04004003,,,,
,,,,,,兵籍規則,F0030026,,
,,,,,,空軍勛獎條例,F0030012,,
,,,,,,軍人待遇條例,F0030038,,
,,,,,,軍事學校聘任教職員退休辦法,S0080017,,
,,,,,,國防部及所屬各機關公務人員交代條例施行細則,F0030043,,
,,,,,,國軍軍官士官請假規則,F0030017,,
,,,,,,國家中山科學研究院改制行政法人繼續任用軍職人員人事管理辦法,F0030042,,
,,,,,,國家中山科學研究院董事及監事遴選辦法,F0030041,,
,,,,,,國家中山科學研究院董事監事及院長利益衝突迴避辦法,F0030040,,
,,,,,,國家中山科學研究院績效評鑑辦法,F0030039,,
,,,,,,陸海空軍軍官士官任官條例,F0030002,,
,,,,,,陸海空軍軍官士官任官條例施行細則,F0030003,,
,,,,,,陸海空軍軍官士官任職條例,F0030004,,
,,,,,,陸海空軍軍官士官任職條例施行細則,F0030030,,
,,,,,,陸海空軍軍官士官考績條例,F0030005,,
,,,,,,陸海空軍軍官士官考績條例施行細則,F0030006,,
,,,,,,陸海空軍軍官士官考績績等及獎金標準,F0030007,,
,,,,,,陸海空軍軍官士官職務交接規則,F0030028,,
,,,,,,陸海空軍獎勵條例,F0030010,,
,,,,,,陸海空軍獎勵條例施行細則,F0030011,,
,,,,,,陸海空軍勳賞條例,F0030008,,
,,,,,,陸海空軍勳賞條例施行細則,F0030009,,
,,,,,,陸海空軍懲罰法,F0030013,,
,,,,,,陸海空軍懲罰法施行細則,F0030014,,
,,,,兵役目,04004004,,,,
,,,,,,大學儲備軍官訓練團選訓服役實施辦法,H0140012,,
,,,,,,召集規則,F0040009,,
,,,,,,兵役法,F0040001,,
,,,,,,兵役法施行法,F0040002,,
,,,,,,兵役法修正施行前補充兵及國民兵管理運用辦法,F0040024,,
,,,,,,志願士兵不適服現役賠償辦法,F0040028,,
,,,,,,志願士兵服役條例,F0040007,,
,,,,,,志願士兵選訓實施辦法,F0040023,,
,,,,,,後備軍人管理規則,F0040008,,
,,,,,,軍事學校退學休學開除學籍學生服役處理辦法,F0040010,,
,,,,,,常備兵回役免予回役處理辦法,F0040022,,
,,,,,,常備兵現役病傷殘廢停役檢定標準,F0040026,,
,,,,,,常備兵補充兵服役規則,F0040011,,
,,,,,,推行兵役事務應行宣傳招募慰勞及獎懲辦法,F0040029,,
,,,,,,陸海空軍軍官士官志願留營入營甄選服役規則,F0040017,,
,,,,,,陸海空軍軍官士官服役條例,F0040020,,
,,,,,,陸海空軍軍官士官服役條例施行細則,F0040021,,
,,,,,,預備軍官預備士官選訓服役實施辦法,F0040012,,
,,,,,,體位區分標準,F0040018,,
,,,,保險撫卹目,04004005,,,,
,,,,,,非適用勞動基準法軍中聘任人員及僱用員工傷亡照護金發給辦法,F0050012,,
,,,,,,軍人一次卹金增發基數標準,F0050010,,
,,,,,,軍人保險條例,F0050001,,
,,,,,,軍人保險條例施行細則,F0050002,,
,,,,,,軍人殘等檢定標準,F0050011,,
,,,,,,軍人撫卹條例,F0050003,,
,,,,,,軍人撫卹條例施行細則,F0050004,,
,,,,,,軍事學校軍費學生傷亡照護金發給辦法,F0050013,,
,,,,,,國軍在臺遺族傷殘官兵及無依軍眷照護金發給辦法,F0140011,,
,,,,,,義務役官兵因病停役期間傷亡照護金發給辦法,F0050014,,
,,,,,,臺灣地區光復初期隨國軍赴大陸地區作戰人員撫慰金發給辦法,F0030016,,
,,,,,,應召入營或退伍解召人員還鄉途中傷亡照護金發給辦法,F0050015,,
,,,,服制旗章目,04004006,,,,
,,,,,,陸海空軍服制條例,F0060007,,
,,,,,,陸海空軍軍旗條例,F0060005,,
,,,,,,陸海空軍軍旗條例施行細則,F0060006,,
,,,,作戰目,04004007,,,,
,,,,,,全民防衛動員準備法,F0070013,,
,,,,,,全民防衛動員準備法施行細則,F0070022,,
,,,,,,全民防衛動員準備演習民力徵用實施辦法,F0070014,,
,,,,,,全民防衛動員準備演習財物徵購徵用補償及解除徵用辦法,F0070018,,
,,,,,,全民防衛動員實施階段物資固定設施徵購徵用及補償實施辦法,F0070020,,
,,,,,,佈雷區域殺傷性地雷剷除辦法,F0090023,,
,,,,,,戒嚴法,F0070002,,
,,,,,,防空演習實施辦法,F0070021,,
,,,,,,後備軍人輔導組織設置辦法,F0040019,,
,,,,,,政府使用及剷除殺傷性地雷補償辦法,F0090022,,
,,,,,,要塞堡壘地帶法,F0070001,,
,,,,,,軍用飛機場周圍鴿舍拆遷補償辦法,F0070019,,
,,,,,,動員實施階段軍事人力統籌分配辦法,F0070016,,
,,,,,,動員實施階段國軍機動運輸及軍品運補交通管制辦法,F0070017,,
,,,,,,國防工業生產轉換演習實施辦法,F0090020,,
,,,,,,國軍協助災害防救辦法,F0090024,,
,,,,,,國軍軍事勤務致人民傷亡損害補償金基數及發給標準,F0000037,,
,,,,,,國軍軍事勤務致人民傷亡損害補償條例,F0000036,,
,,,,,,戰備各階段公民營通信設施支援軍事管制運用辦法,F0070015,,
,,,,教育訓練目,04004008,,,,
,,,,,,全民國防教育法,F0080014,,
,,,,,,軍事教育條例,F0080007,,
,,,,,,軍事學校及軍事訓練機構學員生修業規則,F0080002,,
,,,,,,軍事學校及班隊設立變更停辦標準,F0080013,,
,,,,,,軍事學校自費學生權利義務及管理辦法,F0080011,,
,,,,,,軍事學校學生研究生學籍規則,F0080012,,
,,,,,,國軍預備學校國中部高中部學生入學辦法,F0080010,,
,,,,,,國軍隨營補習及進修教育實施辦法,F0080001,,
,,,,,,推動全民國防教育傑出貢獻獎勵辦法,F0080015,,
,,,,,,推動國軍官兵終身教育實施辦法,F0080008,,
,,,,軍備後勤目,04004009,,,,
,,,,,,軍事機關運作毒性化學物質管理辦法,O0060005,,
,,,,,,國防事業穿越私有土地之上空或地下地上權徵收補償辦法,F0010053,,
,,,,,,國防部科技工業機構委託民間經營管理辦法,F0090018,,
,,,,,,國防部科技工業機構產品銷售辦法,F0090017,,
,,,,,,國防部科技工業機構與法人團體從事研發產製維修辦法,F0090019,,
,,,,,,國防部科學技術研究發展成果歸屬及運用辦法,F0080016,,
,,,,,,殺傷性地雷管制條例,F0090021,,
,,,,,,現役軍人自衛槍枝管理辦法,F0090014,,
,,,,交通通信目,04004010,,,,
,,,,,,國軍編制內車輛登記領用車照辦法,F0100001,,
,,,,,,國軍編制內軍用車輛管理及處罰辦法,F0100012,,
,,,,主計財務目,04004011,,,,
,,,,,,支領退休俸軍官士官就任公職停發退休俸辦法,F0110017,,
,,,,,,軍事學校預備學校軍費生公費待遇津貼發給及賠償辦法,F0110009,,
,,,,,,退伍除役軍官士官赴大陸地區長期居住退除給與處理辦法,F0030036,,
,,,,,,退伍除役軍官士官退除給與其他現金給與補償金發給辦法,F0030034,,
,,,,,,退伍除役軍官士官退除給與補助金發給辦法,F0030037,,
,,,,,,國防工業發展基金設置條例,F0110001,,
,,,,,,國防部及所屬機關提供政府資訊收費標準,F0010051,,
,,,,,,國軍生產及服務作業基金收支保管及運用辦法,F0110019,,
,,,,,,國軍老舊眷村改建基金收支保管及運用辦法,F0140015,,
,,,,,,國軍官兵死亡殮葬補助費給與標準,F0050016,,
,,,,,,國軍營舍及設施改建基金收支保管及運用辦法,F0110018,,
,,,,,,國家中山科學研究院公有財產管理辦法,F0110020,,
,,,,,,國家中山科學研究院產品銷售科技合作技術移轉及技術服務辦法,F0110021,,
,,,,,,陸海空軍退伍除役官兵退除給與及保險退伍給付優惠儲蓄存款辦法,F0110004,,
,,,,軍法目,04004012,,,,
,,,,,,妨害兵役治罪條例,F0120002,,
,,,,,,戒嚴時期不當叛亂暨匪諜審判案件受裁判者補償金申請認定及發放辦法,F0120020,,
,,,,,,戒嚴時期不當叛亂暨匪諜審判案件受裁判者補償金核發標準,F0120019,,
,,,,,,戒嚴時期不當叛亂暨匪諜審判案件補償條例,F0120018,,
,,,,,,軍事法院辦理審判案件訴訟文書影印攝影抄錄費用徵收標準,F0120017,,
,,,,,,軍事審判法,F0120008,,
,,,,,,軍事審判法施行法,F0120009,,
,,,,,,軍事機密與國防秘密種類範圍等級劃分準則,F0010041,,
,,,,,,軍法機關辦理涉及國家機密案件保密作業辦法,F0010029,,
,,,,,,海上捕獲條例,F0120006,,
,,,,,,陸海空軍刑法,F0120001,,
,,,,,,戰時禁制品條例,F0120007,,
,,,,醫務目,04004013,,,,
,,,,,,國軍防制兒童及少年性交易教育宣導辦法,D0050031,,
,,,,,,陸海空軍軍官士官病傷退伍除役檢定標準,F0130003,,
,,,,留守業務目,04004014,,,,
,,,,,,國軍老舊眷村及不適用營地之國有土地標售或處分辦法,F0140016,,
,,,,,,國軍老舊眷村文化保存選擇及審核辦法,F0140019,,
,,,,,,國軍老舊眷村改建配售坪型辦法,F0140017,,
,,,,,,國軍老舊眷村改建條例,F0140013,,
,,,,,,國軍老舊眷村改建條例施行細則,F0140014,,
,,,,,,國軍老舊眷村改建零星餘戶處理辦法,F0140020,,
,,,,,,國軍作戰或因公亡故官兵安葬紀念表揚實施辦法,F0030035,,
,,,,,,國軍官兵作戰或因公失蹤被俘人員家屬待遇處理辦法,F0140003,,
,,,,,,現役軍人死亡無人繼承遺產管理辦法,Q0060007,,
,,,,,,獎勵民間參與國軍老舊眷村改建投資興建住宅社區辦法,F0140018,,
,,,,,,戰士授田憑據處理條例,F0140009,,
,,,,,,戰士授田憑據處理條例施行細則,F0140010,,
,,財政部,,,,,,,
,,,,組織目,4005001,,,,
,,,,,,不動產評價委員會組織規程,G0300010,,
,,,,,,公共債務管理委員會組織規程,G0300061,,
,,,,,,公共債務管理委員會審議規則,G0360034,,
,,,,,,記帳及報稅代理業務人懲戒委員會與懲戒覆審委員會組織及審議規則,G0340134,,
,,,,,,財政部中區國稅局各分局辦事細則,G0310060,,
,,,,,,財政部中區國稅局處務規程,G0310059,,
,,,,,,財政部及所屬各機關公務人員交代條例施行細則,G0310074,,
,,,,,,財政部北區國稅局各分局辦事細則,G0310058,,
,,,,,,財政部北區國稅局處務規程,G0310057,,
,,,,,,財政部各地區支付處組織通則,G0300006,,
,,,,,,財政部各地區國稅局各分局組織準則,G0300056,,
,,,,,,財政部各地區國稅局組織通則,G0300005,,
,,,,,,財政部所屬公營事業移轉民營從業人員優惠優先認購股份辦法,G0310017,,
,,,,,,財政部所屬公營事業移轉民營從業人員權益補償辦法,G0390015,,
,,,,,,財政部所屬國營金融保險事業人員退休撫卹及資遣辦法,G0390012,,
,,,,,,財政部所屬國營金融保險事業機構人事管理準則,G0390010,,
,,,,,,財政部所屬國營金融保險事業機構人員考核辦法,S0040005,,
,,,,,,財政部所屬國營金融保險事業機構職位列等辦法,G0390009,,
,,,,,,財政部金融局組織條例,G0300028,,
,,,,,,財政部南區國稅局各分局辦事細則,G0310062,,
,,,,,,財政部南區國稅局處務規程,G0310061,,
,,,,,,財政部財政人員訓練所組織規程,G0300059,,
,,,,,,財政部財政人員訓練所辦事細則,G0310073,,
,,,,,,財政部財政資訊中心組織法,G0300055,,
,,,,,,財政部財政資訊中心處務規程,G0310072,,
,,,,,,財政部財稅人員訓練所組織條例,G0300019,,
,,,,,,財政部財稅資料中心組織條例,G0300024,,
,,,,,,財政部高雄國稅局各分局辦事細則,G0310056,,
,,,,,,財政部高雄國稅局處務規程,G0310055,,
,,,,,,財政部國有財產局各地區辦事處組織通則,G0300030,,
